Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,264.309998,270.000000,264.299988,269.589996,259.648041,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,262.961121,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,263.038147,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,261.391205,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,260.091034,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,260.428162,110511300
2018-02-23,271.790009,274.709991,271.250000,274.709991,264.579163,92766400
2018-02-26,275.929993,278.010010,275.260010,277.899994,267.651550,86491400
2018-02-27,278.109985,278.920013,274.359985,274.429993,264.309509,99099200
2018-02-28,275.679993,276.190002,271.290009,271.649994,261.632050,121907800
2018-03-01,271.410004,273.170013,266.000000,267.700012,257.827667,176855100
2018-03-02,265.799988,269.720001,264.820007,269.079987,259.156799,139083200
2018-03-05,267.730011,272.890015,267.609985,272.190002,262.152130,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,262.816681,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,262.720398,87063500
2018-03-08,273.549988,274.239990,272.420013,274.100006,263.991669,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,268.585785,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,268.248688,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,266.515076,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,265.147400,105895100
2018-03-15,275.880005,276.609985,274.429993,275.000000,264.858459,83433000
2018-03-16,274.500000,275.390015,274.140015,274.200012,265.145721,100343700
2018-03-19,273.350006,274.399994,268.619995,270.489990,261.558167,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,262.003021,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,261.500183,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,254.963379,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,249.528961,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,256.355865,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,251.994781,129941400
2018-03-28,260.750000,262.640015,258.579987,259.829987,251.250153,146452300
2018-03-29,261.119995,265.260010,259.839996,263.149994,254.460587,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,248.968109,186286300
2018-04-03,258.869995,261.309998,256.839996,260.769989,252.159180,119956900
2018-04-04,256.750000,264.359985,256.600006,263.559998,254.857040,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,256.868347,82652600
2018-04-06,263.420013,265.109985,258.000000,259.720001,251.143799,179521200
2018-04-09,261.369995,264.839996,259.940002,261.000000,252.381546,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,256.394562,103529000
2018-04-11,263.470001,265.640015,263.390015,263.760010,255.050446,91140200
2018-04-12,265.260010,267.000000,265.059998,265.929993,257.148773,68890500
2018-04-13,267.410004,267.540009,264.010010,265.149994,256.394562,85079200
2018-04-16,267.000000,268.200012,266.070007,267.329987,258.502502,63405300
2018-04-17,269.329987,270.869995,268.750000,270.190002,261.268097,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,261.461487,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,260.011078,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,257.806305,99953100
2018-04-23,267.260010,267.890015,265.350006,266.570007,257.767639,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,254.296219,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,254.924698,103840900
2018-04-26,264.790009,267.250000,264.290009,266.309998,257.516235,67731900
2018-04-27,267.000000,267.339996,265.500000,266.559998,257.757965,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,255.775681,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,256.230164,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,254.508942,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,253.948044,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,257.235809,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,258.106110,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,258.106110,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,260.600891,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,263.037628,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,263.840210,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,263.965973,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,262.148041,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,263.250366,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,263.028015,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,262.370483,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,264.343079,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,263.608154,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,264.333405,64694200
2018-05-24,272.910004,273.220001,270.779999,272.799988,263.791931,76043800
